BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE
01/02/2019 08:59:52,01/02/2019 08:59:50,01/02/2019,DE MADRUGADA,AVENIDA DOUTOR JO�O GUILHERMINO,421,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1900776
01/02/2019 10:53:44,01/02/2019 11:59:24,01/02/2019,DE MADRUGADA,RODOVIA RODOVIA PRESIDENTE DUTRA,1,EUG�NIO DE MELO,S.JOSE DOS CAMPOS,SP,-23,158296026
01/02/2019 12:13:47,01/02/2019 12:55:06,01/02/2019,EM HORA INCERTA,RUA JO�O AD�O,1,RESIDENCIAL ALTOS DO BOSQUE,S.JOSE DOS CAMPOS,SP,-23,266314595
01/02/2019 12:57:03,01/02/2019 13:10:08,01/02/2019,PELA MANH�,RUA CARLOS NUNES DE PAULA,1,CAMPO DOS ALEM�ES,S.JOSE DOS CAMPOS,SP,-23,275788458
01/02/2019 13:48:37,01/02/2019 13:55:20,04/01/2019,PELA MANH�,RUA PA�O MUNICIPAL,1,CENTRO,CACAPAVA,SP,-23,1028772884468
01/02/2019 13:44:40,01/02/2019 14:07:02,21/01/2019,PELA MANH�,RUA s�o FRANCISCO DE ASSIS,300,JARDIM S�O JUDAS TADEU,S.JOSE DOS CAMPOS,SP,-23,254066570117
01/02/2019 16:19:49,01/02/2019 16:44:48,29/01/2019,A TARDE,AVENIDA DANTAS LUIZ DO PRADO,466,CAMPOS DE S�O JOS�,S.JOSE DOS CAMPOS,SP,-23,2120954593
01/02/2019 19:36:16,01/02/2019 19:59:39,29/01/2019,A NOITE,AVENIDA DOUTOR EDUARDO CURY,230,JARDIM COLINAS,S.JOSE DOS CAMPOS,SP,-23,2037791060107
02/02/2019 02:23:09,02/02/2019 04:47:31,02/02/2019,DE MADRUGADA,AVENIDA HENRY NESTL�,0,JARDIM ITAMARATI,CACAPAVA,SP,-23,1125815789999
02/02/2019 05:20:18,02/02/2019 05:20:49,01/02/2019,A NOITE,RUA JULIO CEZAR,112,JARDIM ORIENTE,S.JOSE DOS CAMPOS,SP,-23,240692
02/02/2019 06:33:26,02/02/2019 06:33:30,01/02/2019,A NOITE,AVENIDA DOIS,470,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257147
02/02/2019 06:33:26,02/02/2019 06:33:30,01/02/2019,A NOITE,AVENIDA DOIS,470,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257147
03/02/2019 03:12:29,03/02/2019 03:28:36,02/02/2019,DE MADRUGADA,RUA EUCLIDES MIRAGAIA,445,CENTRO,S.JOSE DOS CAMPOS,SP,-23,192092693
03/02/2019 10:49:01,03/02/2019 10:49:06,02/02/2019,A NOITE,AVENIDA ANDROMEDA,227,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2180213565941
03/02/2019 15:15:17,03/02/2019 15:25:35,02/02/2019,A NOITE,RUA EUCLIDES MIRAGAIA,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,19180618
03/02/2019 17:27:04,03/02/2019 17:37:59,03/02/2019,A TARDE,AVENIDA CASSIANO RICARDO,2000,JARDIM DAS IND�STRIAS,S.JOSE DOS CAMPOS,SP,-23,2313872986473
04/02/2019 15:44:31,04/02/2019 15:53:47,03/02/2019,A NOITE,AVENIDA LENIN,1,CONJUNTO HABITACIONAL DOM PEDRO II,S.JOSE DOS CAMPOS,SP,-23,27386158
04/02/2019 15:36:36,04/02/2019 16:17:46,04/02/2019,A TARDE,RUA DR PEREIRA DE MATOS,1,CENTRO,CACAPAVA,SP,-23,1028772884468
05/02/2019 10:58:02,05/02/2019 11:08:07,02/02/2019,A TARDE,AVENIDA SAO JOSE,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,183230147
05/02/2019 12:10:23,05/02/2019 12:55:44,04/02/2019,A TARDE,AVENIDA CIDADE JARDIM,4230,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2470490550072
05/02/2019 16:11:00,05/02/2019 16:19:45,05/02/2019,PELA MANH�,AVENIDA NICANOR REIS,100,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,2698158078096
05/02/2019 16:37:14,05/02/2019 16:57:47,05/02/2019,PELA MANH�,AVENIDA ALTO DO RIO DOCE,100,JARDIM ALTOS DE SANTANA,S.JOSE DOS CAMPOS,SP,-23,1625999409999
