BO_INICIADO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATAELABORACAO,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
