BO_INICIADO,BO_EMITIDO,PERIDOOCORRENCIA,DATAELABORACAO,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,
01/03/2019 09:51:50,01/03/2019 10:08:51,A TARDE,01/03/2019 09:51:50,RUA DOS PERIQUITOS,1095,VILA TATETUBA,S.JOSE DOS CAMPOS,SP,-23,1808637822807,
01/03/2019 14:58:35,01/03/2019 15:14:56,A NOITE,01/03/2019 14:58:35,AVENIDA CORONEL ALC�NTARA,1,CENTRO,CACAPAVA,SP,-23,1008871,
01/03/2019 14:58:35,01/03/2019 15:14:56,A NOITE,01/03/2019 14:58:35,AVENIDA CORONEL ALC�NTARA,1,CENTRO,CACAPAVA,SP,-23,1008871,
01/03/2019 15:26:10,01/03/2019 15:42:32,A NOITE,01/03/2019 15:26:10,AVENIDA SAO JOSE,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,183230147,
01/03/2019 16:21:13,01/03/2019 16:53:31,A NOITE,01/03/2019 16:21:13,AVENIDA RUI BARBOSA,1700,VILA ROSSI,S.JOSE DOS CAMPOS,SP,-23,1650222685693,
02/03/2019 16:46:25,02/03/2019 16:58:32,A NOITE,02/03/2019 16:46:25,RUA SIQUEIRA CAMPOS,90,JARDIM BELA VISTA,S.JOSE DOS CAMPOS,SP,-23,1804171967272,
02/03/2019 16:57:51,02/03/2019 17:05:05,A NOITE,02/03/2019 16:57:51,RUA HUMAITA,1,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1909907159999,
03/03/2019 05:56:15,03/03/2019 06:27:25,DE MADRUGADA,03/03/2019 05:56:15,RUA JOSE DE CAMPOS,200,JARDIM MORUMBI,S.JOSE DOS CAMPOS,SP,-23,2600817555806,
03/03/2019 10:51:46,03/03/2019 11:06:56,A NOITE,03/03/2019 10:51:46,AVENIDA JULIO CEZAR VILLACA,479,JARDIM SANTA LUZIA,S.JOSE DOS CAMPOS,SP,-23,2366151689999,
03/03/2019 16:16:24,03/03/2019 16:15:57,A NOITE,03/03/2019 16:16:24,RUA DOUTOR JORGE DE OLIVEIRA COUTINHO,174,PARQUE RESIDENCIAL AQU�RIUS,S.JOSE DOS CAMPOS,SP,-23,2156968194565,
04/03/2019 06:43:34,04/03/2019 06:52:22,A NOITE,04/03/2019 06:43:34,RUA DOLZANI RICARDO,1,CENTRO,S.JOSE DOS CAMPOS,SP,-23,18747446,
04/03/2019 09:59:43,04/03/2019 09:59:08,DE MADRUGADA,04/03/2019 09:59:43,RUA CORONEL JOS� MONTEIRO,503,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1822839,
04/03/2019 11:34:51,04/03/2019 12:32:34,A NOITE,04/03/2019 11:34:51,RUA ANA ELIZABETE GOLDIN,168,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,2707065129999,
04/03/2019 11:34:51,04/03/2019 12:32:34,A NOITE,04/03/2019 11:34:51,RUA ANA ELIZABETE GOLDIN,168,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,2707065129999,
04/03/2019 11:34:51,04/03/2019 12:32:34,A NOITE,04/03/2019 11:34:51,RUA ANA ELIZABETE GOLDIN,168,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,2707065129999,
04/03/2019 11:34:51,04/03/2019 12:32:34,A NOITE,04/03/2019 11:34:51,RUA ANA ELIZABETE GOLDIN,168,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,2707065129999,
04/03/2019 16:43:16,04/03/2019 16:58:14,DE MADRUGADA,04/03/2019 16:43:16,AVENIDA CASSIANO RICARDO,1983,ROYAL PARK,S.JOSE DOS CAMPOS,SP,-23,2289756847924,
05/03/2019 16:47:14,05/03/2019 17:30:33,A TARDE,05/03/2019 16:47:14,RUA CARAVELAS,934,JARDIM VALE DO SOL,S.JOSE DOS CAMPOS,SP,-23,260375991,
05/03/2019 16:47:14,05/03/2019 17:30:33,A TARDE,05/03/2019 16:47:14,RUA CARAVELAS,934,JARDIM VALE DO SOL,S.JOSE DOS CAMPOS,SP,-23,260375991,
05/03/2019 17:32:19,05/03/2019 17:43:02,A NOITE,05/03/2019 17:32:19,RUA ITORORO,221,JARDIM TOP�ZIO,S.JOSE DOS CAMPOS,SP,-23,1948021192656,
05/03/2019 20:44:58,05/03/2019 21:02:52,A NOITE,05/03/2019 20:44:58,AVENIDA PAPA JOAO PAULO I,100,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2276162733487,
05/03/2019 22:40:06,05/03/2019 23:03:32,A NOITE,05/03/2019 22:40:06,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
05/03/2019 22:40:06,05/03/2019 23:03:32,A NOITE,05/03/2019 22:40:06,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
05/03/2019 22:40:06,05/03/2019 23:03:32,A NOITE,05/03/2019 22:40:06,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
05/03/2019 22:40:06,05/03/2019 23:03:32,A NOITE,05/03/2019 22:40:06,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
05/03/2019 22:40:06,05/03/2019 23:03:32,A NOITE,05/03/2019 22:40:06,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
